geracao,melhor_medio,pior_medio,media_populacional
217,6096.0000,6094.2667,6095.9347
218,6096.0000,6094.4000,6095.9373
219,6096.0000,6094.6667,6095.9467
220,6096.0000,6094.6000,6095.9440
221,6096.0000,6094.2000,6095.9253
222,6096.0000,6094.5333,6095.9453
223,6096.0000,6094.2667,6095.9467
224,6096.0000,6094.7333,6095.9507
225,6096.0000,6094.7333,6095.9533
226,6096.0000,6094.7333,6095.9507
227,6096.0000,6094.4000,6095.9320
228,6096.0000,6094.4000,6095.9400
229,6096.0000,6094.4000,6095.9360
230,6096.0000,6094.5333,6095.9413
231,6096.0000,6094.6000,6095.9440
232,6096.0000,6094.4000,6095.9373
233,6096.0000,6094.6000,6095.9520
234,6096.0000,6094.2667,6095.9320
235,6096.0000,6094.4000,6095.9440
236,6096.0000,6094.4000,6095.9440
237,6096.0000,6094.5333,6095.9333
238,6096.0000,6094.4667,6095.9360
239,6096.0000,6094.5333,6095.9573
240,6096.0000,6094.2000,6095.9373
241,6096.0000,6094.6000,6095.9427
242,6096.0000,6094.8000,6095.9560
243,6096.0000,6094.6667,6095.9440
244,6096.0000,6094.5333,6095.9373
245,6096.0000,6094.4000,6095.9427
246,6096.0000,6094.5333,6095.9320
247,6096.0000,6094.7333,6095.9547
248,6096.0000,6094.7333,6095.9507
249,6096.0000,6094.7333,6095.9453
250,6096.0000,6094.6000,6095.9373
251,6096.0000,6094.5333,6095.9573
252,6096.0000,6094.7333,6095.9533
253,6096.0000,6094.1333,6095.9320
254,6096.0000,6094.2667,6095.9333
255,6096.0000,6094.7333,6095.9587
256,6096.0000,6094.6000,6095.9480
257,6096.0000,6094.4000,6095.9427
258,6096.0000,6094.4000,6095.9480
259,6096.0000,6094.4667,6095.9320
260,6096.0000,6094.4667,6095.9360
261,6096.0000,6094.6000,6095.9520
262,6096.0000,6094.5333,6095.9373
263,6096.0000,6094.4000,6095.9453
264,6096.0000,6094.4667,6095.9440
265,6096.0000,6094.4000,6095.9427
266,6096.0000,6094.5333,6095.9453
267,6096.0000,6094.5333,6095.9493
268,6096.0000,6094.8000,6095.9627
269,6096.0000,6094.6000,6095.9493
270,6096.0000,6094.2667,6095.9373
271,6096.0000,6094.5333,6095.9467
272,6096.0000,6094.6667,6095.9493
273,6096.0000,6094.4000,6095.9320
274,6096.0000,6094.2667,6095.9440
275,6096.0000,6094.5333,6095.9520
276,6096.0000,6094.6667,6095.9507
277,6096.0000,6094.7333,6095.9507
278,6096.0000,6094.7333,6095.9640
279,6096.0000,6094.5333,6095.9600
