geracao,melhor,pior,media
239,7087.0000,-997.0000,6763.3200
240,7087.0000,7081.0000,7086.6800
241,7087.0000,6070.0000,7046.3600
242,7087.0000,-997.0000,6925.1600
243,7087.0000,-997.0000,6925.2800
244,7087.0000,6080.0000,7066.5400
245,7087.0000,6070.0000,7025.9800
246,7087.0000,-997.0000,6763.6000
247,7087.0000,6070.0000,7006.0000
248,7087.0000,-997.0000,6581.7800
249,7087.0000,7079.0000,7086.8000
250,7087.0000,-997.0000,6905.0600
251,7087.0000,-997.0000,6904.9800
252,7087.0000,-997.0000,6884.9200
253,7087.0000,6080.0000,7046.6000
254,7087.0000,-997.0000,6904.7400
255,7087.0000,-997.0000,6703.1400
256,7087.0000,7081.0000,7086.6800
257,7087.0000,6080.0000,7066.5400
258,7087.0000,-997.0000,6278.3600
259,7087.0000,-997.0000,6743.2600
260,7087.0000,6080.0000,7066.7800
261,7087.0000,-997.0000,6763.2400
262,7087.0000,6080.0000,7026.4600
263,7087.0000,-997.0000,6723.0400
264,7087.0000,6080.0000,7066.6200
265,7087.0000,6070.0000,7046.1600
266,7087.0000,-997.0000,6864.6600
267,7087.0000,6080.0000,7026.4600
268,7087.0000,6070.0000,7026.1800
269,7087.0000,-997.0000,6924.9600
270,7087.0000,6080.0000,7046.2800
271,7087.0000,7081.0000,7086.7600
272,7087.0000,-994.0000,6925.3400
273,7087.0000,-997.0000,6561.4000
274,7087.0000,-997.0000,6581.5000
275,7087.0000,-997.0000,6743.1000
276,7087.0000,-997.0000,6763.5200
277,7087.0000,-997.0000,6541.1800
278,7087.0000,6080.0000,7046.6400
279,7087.0000,6080.0000,7046.7200
280,7087.0000,7085.0000,7086.8800
281,7087.0000,-997.0000,6581.7200
282,7087.0000,6070.0000,7046.1600
283,7087.0000,6080.0000,7046.3600
284,7087.0000,6070.0000,7066.3800
285,7087.0000,-997.0000,6924.8800
286,7087.0000,-997.0000,6743.2600
287,7087.0000,-997.0000,6763.4800
288,7087.0000,-997.0000,6904.9800
289,7087.0000,-997.0000,6258.1800
290,7087.0000,6070.0000,7066.6200
291,7087.0000,-997.0000,6763.4400
292,7087.0000,-997.0000,6763.5200
293,7087.0000,-997.0000,6723.2000
294,7087.0000,-997.0000,6722.5600
295,7087.0000,7081.0000,7086.8800
296,7087.0000,-997.0000,6904.6600
297,7087.0000,-997.0000,6722.8400
298,7087.0000,-997.0000,6682.7600
299,7087.0000,-997.0000,6925.1600
300,7087.0000,6070.0000,7026.3000
301,7087.0000,-994.0000,6884.5400
302,7087.0000,6080.0000,7046.4800
303,7087.0000,6070.0000,7026.2200
304,7087.0000,-997.0000,6541.0200
305,7087.0000,6080.0000,7066.7400
306,7087.0000,7081.0000,7086.8400
307,7087.0000,-997.0000,6884.7600
308,7087.0000,7081.0000,7086.8400
309,7087.0000,6070.0000,7046.4800
310,7087.0000,6080.0000,7046.5200
311,7087.0000,-997.0000,6743.3000
312,7087.0000,-997.0000,6925.1600
313,7087.0000,-997.0000,6925.0800
314,7087.0000,-997.0000,6541.4600
315,7087.0000,-997.0000,6743.1400
316,7087.0000,7081.0000,7086.7200
317,7087.0000,-997.0000,6884.8800
318,7087.0000,6080.0000,7046.6400
319,7087.0000,-997.0000,6723.4000
320,7087.0000,-997.0000,6541.5000
321,7087.0000,-997.0000,6743.3800
322,7087.0000,-997.0000,6743.5000
323,7087.0000,-997.0000,5935.1600
324,7087.0000,-997.0000,6581.7800
325,7087.0000,-997.0000,6884.7200
326,7087.0000,6082.0000,7066.7800
327,7087.0000,-997.0000,6399.5400
328,7087.0000,-997.0000,6904.8600
329,7087.0000,7085.0000,7086.9200
330,7087.0000,-997.0000,6905.1000
331,7087.0000,-997.0000,6884.8800
332,7087.0000,-997.0000,6723.3200
333,7087.0000,7081.0000,7086.8000
334,7087.0000,-997.0000,6257.8200
335,7087.0000,6080.0000,7066.5800
336,7087.0000,-997.0000,6541.0000
337,7087.0000,-997.0000,6723.1200
338,7087.0000,-994.0000,6925.3000
339,7087.0000,-997.0000,6420.1600
340,7087.0000,-997.0000,6925.1200
341,7087.0000,-997.0000,6703.2400
342,7087.0000,6080.0000,7046.6000
343,7087.0000,-997.0000,6440.1800
344,7087.0000,6080.0000,7046.5600
345,7087.0000,-997.0000,6723.2400
346,7087.0000,-997.0000,6925.0400
347,7087.0000,6080.0000,7026.5000
348,7087.0000,-997.0000,6581.8000
349,7087.0000,-997.0000,6904.8200
350,7087.0000,6070.0000,7066.5400
351,7087.0000,6070.0000,7005.7600
352,7087.0000,-997.0000,6703.0600
353,7087.0000,-997.0000,6904.9800
354,7087.0000,-997.0000,6541.1400
355,7087.0000,7081.0000,7086.8400
356,7087.0000,-997.0000,6884.7200
357,7087.0000,7085.0000,7086.9600
358,7087.0000,-997.0000,6905.0600
359,7087.0000,-997.0000,6601.8400
360,7087.0000,6070.0000,7026.2600
361,7087.0000,-997.0000,6763.5200
362,7087.0000,-997.0000,6905.1000
363,7087.0000,6080.0000,7006.4400
364,7087.0000,-997.0000,6904.9000
365,7087.0000,-997.0000,6904.8200
366,7087.0000,7085.0000,7086.9200
367,7087.0000,-997.0000,6763.4400
368,7087.0000,7079.0000,7086.5200
369,7087.0000,6080.0000,7066.5800
370,7087.0000,-997.0000,6743.4600
371,7087.0000,-997.0000,6904.9400
372,7087.0000,-997.0000,6884.8800
373,7087.0000,-997.0000,6925.2800
374,7087.0000,-997.0000,6581.7000
375,7087.0000,-997.0000,6884.7200
376,7087.0000,-997.0000,6723.2200
377,7087.0000,6070.0000,7026.1000
378,7087.0000,6080.0000,7066.8600
379,7087.0000,-997.0000,6743.1200
380,7087.0000,6070.0000,7066.5400
381,7087.0000,-994.0000,6864.7200
382,7087.0000,-997.0000,6904.8200
383,7087.0000,-997.0000,6763.5800
384,7087.0000,-997.0000,6884.6400
385,7087.0000,7081.0000,7086.8400
386,7087.0000,-994.0000,6905.0000
387,7087.0000,6070.0000,7025.9000
388,7087.0000,-997.0000,6925.2800
389,7087.0000,6080.0000,7066.8200
390,7087.0000,6080.0000,7066.6600
391,7087.0000,6070.0000,7046.4000
392,7087.0000,7081.0000,7086.8400
393,7087.0000,-997.0000,6743.1000
394,7087.0000,-997.0000,6884.6400
395,7087.0000,-997.0000,6723.3200
396,7087.0000,7079.0000,7086.6400
397,7087.0000,7085.0000,7086.8400
398,7087.0000,-997.0000,6925.2000
399,7087.0000,-997.0000,6925.2000
400,7087.0000,-997.0000,6904.9000
401,7087.0000,7079.0000,7086.7200
402,7087.0000,6080.0000,7066.6600
403,7087.0000,-997.0000,6763.1200
404,7087.0000,6080.0000,7066.7400
405,7087.0000,-997.0000,6924.8400
406,7087.0000,-997.0000,6925.1200
407,7087.0000,6070.0000,7066.6200
408,7087.0000,-997.0000,6722.9600
409,7087.0000,6070.0000,7066.6200
410,7087.0000,-997.0000,6905.0600
411,7087.0000,-997.0000,6924.9600
412,7087.0000,-997.0000,6601.6800
413,7087.0000,-997.0000,6581.6200
414,7087.0000,-997.0000,6379.5000
415,7087.0000,-997.0000,6440.2000
416,7087.0000,6070.0000,7026.0600
417,7087.0000,7085.0000,7086.8800
418,7087.0000,-997.0000,6884.7200
419,7087.0000,-997.0000,6925.1600
420,7087.0000,-997.0000,6844.1600
421,7087.0000,6080.0000,7046.4000
422,7087.0000,-997.0000,6743.5000
423,7087.0000,-997.0000,6884.8800
424,7087.0000,-994.0000,6905.1200
425,7087.0000,-997.0000,6763.6000
426,7087.0000,-997.0000,6864.8600
427,7087.0000,-997.0000,6905.0600
428,7087.0000,-997.0000,6601.8400
429,7087.0000,7085.0000,7086.9600
430,7087.0000,-997.0000,6884.7200
431,7087.0000,-997.0000,6904.9400
432,7087.0000,-997.0000,6905.1400
433,7087.0000,-997.0000,6743.1000
434,7087.0000,-997.0000,6601.6000
435,7087.0000,6080.0000,7066.6600
436,7087.0000,6070.0000,7006.1600
