geracao,melhor_medio,pior_medio,media_populacional
388,7024.8667,174.4667,6729.7513
389,7024.8667,878.9333,6637.6540
390,7024.8667,1113.2000,6627.3313
391,7024.8667,1816.7000,6685.2667
392,7024.8667,-294.3333,6611.6193
393,7024.8667,409.8333,6695.7600
394,7024.8667,640.7000,6671.3493
395,7024.8667,878.4000,6731.2573
396,7024.8667,-294.7333,6651.7640
397,7024.8667,642.0667,6619.6447
398,7024.8667,1346.4333,6755.9127
399,7024.8667,1348.0667,6722.6300
400,7024.8667,640.1000,6658.3053
401,7024.8667,644.1000,6688.5413
402,7024.8667,642.1667,6724.4227
403,7024.8667,1143.9000,6713.4627
404,7024.8667,641.1333,6721.8720
405,7024.8667,641.1667,6683.5887
406,7024.8667,645.3000,6661.1720
407,7024.8667,674.1667,6688.4160
408,7024.8667,-527.3667,6654.6547
409,7024.8667,875.6667,6750.2933
410,7024.8667,174.0333,6679.8853
411,7024.8667,1576.3667,6698.9933
412,7024.8667,1344.4333,6671.9107
413,7024.8667,1112.4333,6720.9793
414,7024.8667,641.4000,6691.3773
415,7024.8667,640.3667,6703.1873
416,7024.8667,2050.3667,6719.4853
417,7024.8667,1109.8000,6693.4267
418,7024.8667,175.4667,6715.2947
419,7024.8667,1844.6000,6722.0480
420,7024.8667,439.6333,6703.9013
421,7024.8667,877.2667,6670.9740
422,7024.8667,643.2667,6634.8893
423,7024.8667,-28.4000,6648.7960
424,7024.8667,1345.8667,6734.1440
425,7024.8667,406.7333,6642.9940
426,7024.8667,1346.0333,6735.2273
427,7024.8667,-58.7000,6629.4487
428,7024.8667,411.9000,6669.7380
429,7024.8667,173.3667,6655.9760
430,7024.8667,408.1000,6608.8713
431,7024.8667,1139.9667,6696.5807
432,7024.8667,1344.8000,6741.8353
433,7024.8667,1173.5667,6660.3387
434,7024.8667,1347.1667,6670.5733
435,7024.8667,1811.9667,6763.6867
436,7024.8667,876.6333,6725.1160
437,7024.8667,175.6000,6647.7260
438,7024.8667,640.7333,6710.9013
439,7024.8667,876.1000,6689.0380
440,7024.8667,877.6333,6659.0773
441,7024.8667,1814.8667,6742.3607
442,7024.8667,406.7667,6654.8573
443,7024.8667,1811.6333,6710.8767
444,7024.8667,175.9667,6673.2773
445,7024.8667,406.3000,6711.8953
446,7024.8667,1109.7333,6716.6187
447,7024.8667,1579.5333,6733.2200
448,7024.8667,877.5333,6707.6953
449,7024.8667,1815.9333,6763.1800
450,7024.8667,877.1667,6697.3267
451,7024.8667,173.2000,6650.2680
452,7024.8667,1111.7667,6685.2160
453,7024.8667,1344.4333,6700.7453
454,7024.8667,1108.9000,6727.2240
455,7024.8667,409.3333,6726.9873
456,7024.8667,174.2333,6666.4247
457,7024.8667,1342.9000,6702.6840
458,7024.8667,174.2667,6712.1713
459,7024.8667,878.6667,6654.0433
460,7024.8667,174.7000,6689.5067
461,7024.8667,1808.8667,6703.9407
462,7024.8667,875.4000,6701.0493
463,7024.8667,642.8333,6683.9520
464,7024.8667,1109.3000,6704.6100
465,7024.8667,176.0000,6627.0900
466,7024.8667,406.7667,6665.8440
467,7024.8667,875.9000,6741.7927
468,7024.8667,644.3333,6727.5927
469,7024.8667,877.4333,6694.7307
470,7024.8667,641.4667,6716.7307
471,7024.8667,877.2667,6732.9780
472,7024.8667,639.9000,6706.0273
473,7024.8667,641.2000,6727.2420
474,7024.8667,1379.5333,6708.3613
475,7024.8667,-293.3000,6607.1287
476,7024.8667,-59.4667,6595.2207
477,7024.8667,1579.5000,6748.0427
478,7024.8667,642.2000,6704.4427
479,7024.8667,1111.9333,6690.0007
480,7024.8667,-293.1000,6621.2060
481,7024.8667,639.6000,6676.9053
482,7024.8667,640.0333,6733.9393
483,7024.8667,408.0000,6696.4927
484,7024.8667,2049.4333,6746.6687
485,7024.8667,877.2667,6718.0613
486,7024.8667,646.8333,6666.0653
487,7024.8667,1815.1000,6711.9513
488,7024.8667,640.6000,6705.3160
489,7024.8667,643.0667,6696.1193
490,7024.8667,406.7333,6614.4820
491,7024.8667,643.3333,6632.4320
492,7024.8667,908.5333,6683.2827
493,7024.8667,441.8333,6692.7607
494,7024.8667,638.4333,6697.4253
495,7024.8667,1146.1333,6712.2467
496,7024.8667,406.0000,6694.0527
497,7024.8667,640.8667,6673.0340
498,7024.8667,2047.2333,6744.1827
499,7024.8667,1112.0000,6688.2200
500,7024.8667,-293.5667,6664.8507
501,7024.8667,875.8000,6633.6080
502,7024.8667,174.8333,6655.3067
503,7024.8667,1113.5000,6676.5213
504,7024.8667,1607.2667,6756.5700
505,7024.8667,177.0333,6639.0300
506,7024.8667,1811.4333,6712.2253
507,7024.8667,871.5667,6722.3527
508,7024.8667,1810.5000,6729.2300
509,7024.8667,642.3000,6710.5740
510,7024.8667,643.2667,6688.7933
511,7024.8667,1578.7667,6710.4293
512,7024.8667,2043.6333,6753.6187
513,7024.8667,173.9667,6713.2667
514,7024.8667,875.2333,6676.6067
515,7024.8667,879.5333,6720.4427
516,7024.8667,878.5667,6684.7807
517,7024.8667,644.3667,6696.3287
518,7024.8667,645.9000,6737.2780
519,7024.8667,1110.0667,6679.5047
520,7024.8667,1809.6667,6700.3733
521,7024.8667,1818.3333,6691.3007
522,7024.8667,1341.4000,6701.5560
523,7024.8667,-60.1333,6660.9607
524,7024.8667,1110.6667,6738.6373
525,7024.8667,1108.2667,6722.8773
526,7024.8667,-526.6333,6723.6993
527,7024.8667,873.8000,6706.1900
528,7024.8667,174.8000,6675.8707
529,7024.8667,875.6333,6702.4047
530,7024.8667,174.6000,6665.2060
531,7024.8667,408.8667,6656.7213
532,7024.8667,1579.2000,6726.4100
533,7024.8667,177.3000,6689.8027
534,7024.8667,2045.2333,6722.9827
535,7024.8667,876.2000,6645.6373
536,7024.8667,1111.1333,6654.6893
537,7024.8667,1113.0667,6704.7847
538,7024.8667,411.4333,6713.6580
539,7024.8667,406.3333,6688.2567
540,7024.8667,876.1000,6718.2080
541,7024.8667,176.9667,6705.2080
542,7024.8667,872.9000,6727.3573
543,7024.8667,-59.2000,6665.7553
544,7024.8667,-294.5667,6683.6333
545,7024.8667,1577.4667,6708.3553
546,7024.8667,643.4667,6688.8573
547,7024.8667,1346.8000,6706.1120
548,7024.8667,1107.0333,6693.9867
549,7024.8667,-60.3333,6676.3180
550,7024.8667,1341.6333,6721.8140
551,7024.8667,642.4667,6674.4120
552,7024.8667,1340.1333,6703.9753
553,7024.8667,1109.8333,6704.8440
554,7024.8667,172.9000,6691.5873
555,7024.8667,1112.6333,6727.3987
556,7024.8667,173.5000,6680.7213
557,7024.8667,645.0333,6692.9340
558,7024.8667,1112.3000,6679.2127
559,7024.8667,-291.9000,6682.7860
560,7024.8667,641.3667,6684.5453
561,7024.8667,407.4333,6654.2107
562,7024.8667,408.2667,6690.5833
563,7024.8667,875.2667,6703.9353
564,7024.8667,1109.7333,6738.1433
565,7024.8667,1379.8333,6746.8253
566,7024.8667,1810.5000,6744.2347
567,7024.8667,644.7000,6694.5080
568,7024.8667,1108.1000,6720.5707
569,7024.8667,2048.5667,6711.9767
570,7024.9333,641.6000,6687.7693
571,7024.9333,642.8333,6667.0207
572,7024.9333,641.9000,6691.1347
573,7024.9333,173.4667,6664.4733
574,7024.9333,675.3667,6686.8327
575,7024.9333,876.7667,6639.7073
576,7024.9333,644.8667,6681.2273
577,7024.9333,2046.6667,6725.1887
578,7024.9333,-528.5667,6620.0580
579,7024.9333,874.1333,6679.9873
580,7024.9333,1111.1667,6679.3967
581,7024.9333,642.0000,6650.9307
582,7024.9333,1347.3000,6711.3940
583,7024.9333,642.3333,6669.0873
584,7024.9333,175.9000,6647.7480
585,7024.9333,877.7667,6712.2847
586,7024.9333,175.2000,6695.4013
587,7024.9333,172.2000,6661.7387
588,7024.9333,410.7000,6674.0373
589,7024.9333,1817.0000,6767.0747
590,7024.9333,1846.9667,6774.1307
591,7024.9333,640.7333,6687.3313
592,7024.9333,403.4667,6780.3020
593,7024.9333,642.7333,6701.7040
594,7024.9333,1108.9333,6715.0800
595,7024.9333,1580.3333,6705.4160
596,7024.9333,409.1333,6656.7267
597,7024.9333,171.2667,6634.4547
598,7024.9333,173.2333,6676.5893
